path,category,basis,review_required,imported_by
".agents/skills/README.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/UPSTREAM_LICENSE","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/UPSTREAM_NOTICE","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/agents/openai.yaml","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/assets/art-direction-brief.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/assets/asset-manifest.json","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/references/art-direction.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/references/provenance.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/references/raster-pipeline.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/references/three-d-pipeline.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/scripts/asset_report.py","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/scripts/build_preview_sheet.py","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/create-game-assets/scripts/requirements.txt","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/game-feel/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/game-feel/references/feedback-recipes.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/game-ui-ux/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/game-ui-ux/references/layout-and-flow.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/performance-optimization/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/performance-optimization/references/profiling-and-budgets.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/rpg/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/rpg/references/stats-combat-quests.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/save-systems/SKILL.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".agents/skills/save-systems/references/versioning-and-migration.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".dockerignore","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".env.example","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".gitattributes","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".github/workflows/ci.yml","active","Project tooling, tests, contracts, plans or instructions retained","false",""
".gitignore","active","Project tooling, tests, contracts, plans or instructions retained","false",""
"AGENTS.md","active","Project tooling, tests, contracts, plans or instructions retained","false",""
